,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1
10,29,2023-03-15 15:00:00,15,15,-31.68,-18.32,2.63,0.0,13802.81,78.1,36.8,-12.04562738,-6.965779468,-13.36,-13.36,0.729257642,-39294.0575,2023-03-15,15:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 15:00:00,2023-03-15 15:00:00-07:00,15.433,,88225.1,240.0,19.08,12.861,,24.0
11,102,2023-02-06 01:00:00,6,1,-31.62,-2.85,2.4,0.0,11938.63,48.0,11.5,-13.175,-1.1875,-28.77,-28.77,10.09473684,-38363.825,2023-02-06,01:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 01:00:00,2023-02-06 01:00:00-08:00,,,88521.86,210.0,38.71,7.202,,6.0
12,103,2023-02-06 02:00:00,6,2,-31.6175,-1.93,2.4,0.0,11600.66,43.0,15.0,-13.17395833,-0.804166667,-29.6875,-29.6875,15.38212435,-38393.5125,2023-02-06,02:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 02:00:00,2023-02-06 02:00:00-08:00,,,88492.18,230.0,38.71,6.173,,6.0
13,107,2023-02-06 03:00:00,6,3,-31.615,-2.29,2.4,0.0,11554.78,43.0,17.3,-13.17291667,-0.954166667,-29.325,-29.325,12.80567686,-38422.8375,2023-02-06,03:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 03:00:00,2023-02-06 03:00:00-08:00,9.26,,88432.83,220.0,36.13,6.688,,7.0
14,122,2023-03-15 14:00:00,15,14,-31.6,-17.61,2.63,0.0,13991.97,75.0,28.8,-12.01520913,-6.69581749,-13.99,-13.99,0.79443498,-39280.6975,2023-03-15,14:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 14:00:00,2023-03-15 14:00:00-07:00,15.433,,88254.78,230.0,16.94,12.861,,26.0
15,129,2023-02-06 04:00:00,6,4,-31.585,-2.36,2.4,0.0,11713.11,42.1,12.7,-13.16041667,-0.983333333,-29.225,-29.225,12.38347458,-38452.0625,2023-02-06,04:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 04:00:00,2023-02-06 04:00:00-08:00,,,88403.15,210.0,44.49,6.173,,4.0
16,231,2023-03-16 03:00:00,16,3,-30.7675,-25.73,2.44,0.0,11220.15,57.0,20.7,-12.60963115,-10.54508197,-5.0375,-5.0375,0.195783133,-39409.27,2023-03-16,03:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 03:00:00,2023-03-16 03:00:00-07:00,,,87958.02,240.0,47.46,9.26,,14.0
17,233,2023-03-15 13:00:00,15,13,-30.74,-19.01,2.63,0.0,14284.21,71.1,25.3,-11.68821293,-7.228136882,-11.73,-11.73,0.617043661,-39266.7075,2023-03-15,13:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 13:00:00,2023-03-15 13:00:00-07:00,,,88373.48,230.0,16.94,16.462,,26.0
18,237,2023-03-15 12:00:00,15,12,-30.6775,-18.66,2.63,0.0,14742.84,64.0,20.7,-11.66444867,-7.095057034,-12.0175,-12.0175,0.644024652,-39254.9775,2023-03-15,12:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 12:00:00,2023-03-15 12:00:00-07:00,16.462,,88492.18,220.0,20.52,12.861,,24.0
19,244,2023-03-16 04:00:00,16,4,-30.6,-26.07,2.44,0.0,11151.72,57.0,17.3,-12.54098361,-10.68442623,-4.53,-4.53,0.173762946,-39413.8,2023-03-16,04:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 04:00:00,2023-03-16 04:00:00-07:00,,,87928.35,240.0,47.46,5.659,,14.0
20,251,2023-02-06 00:00:00,6,24,-30.465,0.31,2.4,0.0,12521.2,45.0,12.7,-12.69375,0.129166667,-30.775,-30.775,-99.27419355,-38335.055,2023-02-06,00:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 00:00:00,2023-02-06 00:00:00-08:00,,,88581.21,210.0,38.71,6.688,,6.0
21,252,2023-03-15 03:00:00,15,3,-30.37,-17.09,2.63,0.0,12316.1,44.1,19.6,-11.54752852,-6.498098859,-13.28,-13.28,0.77706261,-39147.8175,2023-03-15,03:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 03:00:00,2023-03-15 03:00:00-07:00,,,88937.31,180.0,70.47,9.774,,7.0
22,254,2022-09-29 21:00:00,29,21,-30.365,3.26,6.61,0.0,17468.15,73.9,12.7,-4.593797277,0.493192133,-33.625,-33.625,-10.31441718,-26126.055,2022-09-29,21:00:00,2022,9,09/2/222,20220929,2022-09-29 06:53:56-07:00,2022-09-30T01:49:52+00:00,42956,09/29/2022 21:00:00,2022-09-29 21:00:00-07:00,,,89471.47,190.0,39.75,4.116,,19.0
23,256,2023-01-02 04:00:00,2,4,-30.36,4.43,3.55,0.0,10392.7,54.0,15.0,-8.552112676,1.247887324,-34.79,-34.79,-7.853273138,-36109.305,2023-01-02,04:00:00,2023,1,01/0/223,20230102,2023-01-02 07:08:19-08:00,2023-01-03T01:03:13+00:00,35694,01/02/2023 04:00:00,2023-01-02 04:00:00-08:00,,,88136.08,0.0,61.27,0.0,,8.0
24,260,2023-03-15 16:00:00,15,16,-30.2625,-18.8,2.63,0.0,13706.37,79.0,32.2,-11.50665399,-7.148288973,-11.4625,-11.4625,0.609707447,-39305.52,2023-03-15,16:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 16:00:00,2023-03-15 16:00:00-07:00,18.006,,88195.43,240.0,17.72,14.919,,24.0
25,265,2023-03-15 17:00:00,15,17,-30.14,-18.06,2.63,0.0,13807.82,75.0,33.4,-11.46007605,-6.866920152,-12.08,-12.08,0.668881506,-39317.6,2023-03-15,17:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 17:00:00,2023-03-15 17:00:00-07:00,12.347,,88136.08,220.0,18.82,9.774,,23.0
26,268,2023-03-16 00:00:00,16,24,-30.1225,-15.49,2.63,0.19,12624.71,62.1,26.5,-11.45342205,-5.88973384,-14.6325,-14.6325,0.944641704,-39394.205,2023-03-16,00:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 00:00:00,2023-03-16 00:00:00-07:00,,,88017.37,210.0,67.15,7.717,,14.0
27,269,2023-03-15 04:00:00,15,4,-30.095,-15.1,2.63,0.0,12412.55,44.1,20.7,-11.44296578,-5.741444867,-14.995,-14.995,0.993046358,-39162.8125,2023-03-15,04:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 04:00:00,2023-03-15 04:00:00-07:00,,,88877.96,190.0,75.5,9.774,,6.0
28,270,2023-03-16 01:00:00,16,1,-30.0875,-22.95,2.44,0.0,11916.57,60.1,20.7,-12.33094262,-9.405737705,-7.1375,-7.1375,0.311002179,-39401.3425,2023-03-16,01:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 01:00:00,2023-03-16 01:00:00-07:00,,,88017.37,210.0,67.15,9.26,,14.0
29,271,2023-03-16 02:00:00,16,2,-30.07,-27.18,2.44,0.0,11494.7,57.9,19.6,-12.32377049,-11.13934426,-2.89,-2.89,0.106328182,-39404.2325,2023-03-16,02:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 02:00:00,2023-03-16 02:00:00-07:00,,,88017.37,220.0,50.93,7.202,,14.0
30,272,2023-03-15 22:00:00,15,22,-30.065,-15.97,2.63,0.0,14275.99,66.0,21.9,-11.43155894,-6.072243346,-14.095,-14.095,0.882592361,-39364.795,2023-03-15,22:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 22:00:00,2023-03-15 22:00:00-07:00,15.433,,88106.4,210.0,55.41,11.832,,17.0
31,273,2023-03-15 23:00:00,15,23,-30.0575,-15.28,2.63,0.0,13547.9,64.9,28.8,-11.42870722,-5.809885932,-14.7775,-14.7775,0.967113874,-39379.5725,2023-03-15,23:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 23:00:00,2023-03-15 23:00:00-07:00,,,88076.72,200.0,59.05,8.231,,16.0
32,284,2023-03-16 05:00:00,16,5,-29.93,-25.03,2.44,0.0,11333.5,57.9,24.2,-12.26639344,-10.25819672,-4.9,-4.9,0.195765082,-39418.7,2023-03-16,05:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 05:00:00,2023-03-16 05:00:00-07:00,,,88076.72,260.0,50.65,3.601,,13.0
33,286,2023-03-15 07:00:00,15,7,-29.86,-7.72,2.63,0.0,14960.62,43.0,17.3,-11.35361217,-2.935361217,-22.14,-22.14,2.867875648,-39214.31,2023-03-15,07:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 07:00:00,2023-03-15 07:00:00-07:00,11.832,,88788.94,200.0,81.2,9.26,,7.0
34,287,2023-03-15 08:00:00,15,8,-29.845,-8.03,2.63,0.0,15809.22,44.1,24.2,-11.34790875,-3.053231939,-21.815,-21.815,2.716687422,-39236.125,2023-03-15,08:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 08:00:00,2023-03-15 08:00:00-07:00,,,88759.26,200.0,71.27,10.289,,11.0
35,290,2023-03-15 06:00:00,15,6,-29.805,-12.82,2.63,0.0,13745.46,43.0,18.4,-11.33269962,-4.874524715,-16.985,-16.985,1.324882995,-39192.17,2023-03-15,06:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 06:00:00,2023-03-15 06:00:00-07:00,,,88788.94,200.0,86.99,10.289,,6.0
36,308,2022-04-22 00:00:00,22,24,-29.45,-12.05,7.04,0.16,15286.92,75.9,19.6,-4.183238636,-1.711647727,-17.4,-17.4,1.443983402,-11359.515,2022-04-22,00:00:00,2022,4,04/2/222,20220422,2022-04-22 06:19:12-07:00,2022-04-23T02:41:05+00:00,48113,04/22/2022 00:00:00,2022-04-22 00:00:00-07:00,13.89,,88877.96,180.0,60.75,11.318,,23.0
37,312,2023-02-28 23:00:00,28,23,-29.3725,13.7,2.56,0.0,13400.37,50.0,13.8,-11.47363281,5.3515625,-43.0725,-43.0725,-3.143978102,-38420.6875,2023-02-28,23:00:00,2023,2,02/2/223,20230228,2023-02-28 06:30:48-08:00,2023-03-01T01:57:34+00:00,41206,02/28/2023 23:00:00,2023-02-28 23:00:00-08:00,,,88403.15,310.0,15.81,5.144,,11.0
38,326,2023-03-15 18:00:00,15,18,-29.175,-18.42,2.63,0.0,13881.39,75.9,21.9,-11.09315589,-7.003802281,-10.755,-10.755,0.583876221,-39328.355,2023-03-15,18:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 18:00:00,2023-03-15 18:00:00-07:00,,,88076.72,220.0,18.57,8.231,,22.0
39,327,2023-03-15 02:00:00,15,2,-29.165,-15.58,2.63,0.0,12409.21,44.1,19.6,-11.08935361,-5.923954373,-13.585,-13.585,0.87195122,-39134.5375,2023-03-15,02:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 02:00:00,2023-03-15 02:00:00-07:00,,,89056.01,190.0,70.47,9.26,,7.0
40,331,2023-03-15 05:00:00,15,5,-29.1325,-16.76,2.63,0.0,12907.73,44.1,20.7,-11.0769962,-6.372623574,-12.3725,-12.3725,0.73821599,-39175.185,2023-03-15,05:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 05:00:00,2023-03-15 05:00:00-07:00,,,88818.61,190.0,75.67,7.717,,7.0
41,333,2022-04-22 01:00:00,22,1,-29.125,-7.81,6.88,0.0,14072.21,75.0,27.6,-4.233284884,-1.135174419,-21.315,-21.315,2.729193342,-11380.83,2022-04-22,01:00:00,2022,4,04/2/222,20220422,2022-04-22 06:19:12-07:00,2022-04-23T02:41:05+00:00,48113,04/22/2022 01:00:00,2022-04-22 01:00:00-07:00,,,88877.96,180.0,64.54,10.289,,22.0
42,335,2023-03-16 17:00:00,16,17,-29.1125,-20.67,2.44,0.0,14592.87,34.0,26.5,-11.93135246,-8.471311475,-8.4425,-8.4425,0.408442187,-39473.0475,2023-03-16,17:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 17:00:00,2023-03-16 17:00:00-07:00,15.948,,89145.04,10.0,80.34,11.832,,1.0
43,336,2023-03-16 21:00:00,16,21,-29.0525,-18.57,2.44,0.0,14745.8,33.1,20.7,-11.9067623,-7.610655738,-10.4825,-10.4825,0.56448573,-39511.58,2023-03-16,21:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 21:00:00,2023-03-16 21:00:00-07:00,,,89471.47,360.0,74.6,7.717,,1.0
44,338,2023-03-11 06:00:00,11,6,-29.05,-13.91,2.38,0.0,11254.56,57.9,24.2,-12.20588235,-5.844537815,-15.14,-15.14,1.088425593,-38681.5475,2023-03-11,06:00:00,2023,3,03/1/223,20230311,2023-03-11 06:16:17-08:00,2023-03-12T02:07:03+00:00,42646,03/11/2023 06:00:00,2023-03-11 06:00:00-08:00,14.919,,88017.37,260.0,33.95,11.318,,17.0
45,339,2022-11-11 04:00:00,11,4,-29.03,0.0,4.63,0.0,10880.45,36.0,24.2,-6.269978402,0.0,-29.03,-29.03,#NAME?,-25234.83,2022-11-11,04:00:00,2022,11,11/1/222,20221111,2022-11-11 06:31:11-08:00,2022-11-12T01:00:19+00:00,37748,11/11/2022 04:00:00,2022-11-11 04:00:00-08:00,11.832,,89323.09,10.0,74.41,8.746,,0.0
46,341,2023-03-11 01:00:00,11,1,-29.0175,-14.12,2.38,0.0,11761.61,55.0,20.7,-12.19222689,-5.932773109,-14.8975,-14.8975,1.055063739,-38605.8,2023-03-11,01:00:00,2023,3,03/1/223,20230311,2023-03-11 06:16:17-08:00,2023-03-12T02:07:03+00:00,42646,03/11/2023 01:00:00,2023-03-11 01:00:00-08:00,14.404,,88047.05,250.0,36.18,10.803,,16.0
47,342,2023-03-11 07:00:00,11,7,-29.01,-14.08,2.38,0.0,11795.22,57.9,21.9,-12.18907563,-5.915966387,-14.93,-14.93,1.060369318,-38696.4775,2023-03-11,07:00:00,2023,3,03/1/223,20230311,2023-03-11 06:16:17-08:00,2023-03-12T02:07:03+00:00,42646,03/11/2023 07:00:00,2023-03-11 07:00:00-08:00,15.948,,88047.05,260.0,32.17,12.347,,19.0
48,344,2023-03-16 14:00:00,16,14,-29.0025,-15.94,2.44,0.0,14694.38,36.0,26.5,-11.88627049,-6.532786885,-13.0625,-13.0625,0.819479297,-39449.095,2023-03-16,14:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 14:00:00,2023-03-16 14:00:00-07:00,10.803,"light snow,mist",88937.31,340.0,93.02,7.717,,1.0
