,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,DateAPIFormat,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,cloud_layer_1_code_set_1,wind_speed_set_1,relative_humidity_set_1,peak_wind_speed_set_1,air_temp_set_1,wind_direction_set_1
142,143,2022-10-26 13:00:00,26,13.0,$0.01,$28.68,5.2,$0.00,10427.2,71.1,6.9,0.0,5.52,-28.68,-28.68,-0.9998,$837.37,2022-10-26,13:00:00,2022,10,20221026,10/26/2022 13:00:00,2022-10-26 13:00:00-07:00,,,101332.62,0,2.058,25.17,,23.0,220.0
143,144,2023-01-25 12:00:00,25,12.0,$0.01,$22.25,3.34,$0.00,11408.34,46.9,11.5,0.0,6.66,-22.24,-22.24,-0.9997,"-$11,606.02",2023-01-25,12:00:00,2023,1,20230125,01/25/2023 12:00:00,2023-01-25 12:00:00-08:00,,,101670.17,0,6.688,61.76,,10.0,340.0
144,145,2023-02-05 16:00:00,5,16.0,$0.01,$13.34,2.4,$0.00,9583.8,73.0,6.9,0.0,5.56,-13.33,-13.33,-0.9994,"-$13,031.89",2023-02-05,16:00:00,2023,2,20230205,02/05/2023 16:00:00,2023-02-05 16:00:00-08:00,,,101737.68,0,2.572,68.2,,19.0,160.0
145,146,2022-05-25 11:00:00,25,11.0,$0.01,$71.79,8.77,$0.00,12290.33,71.1,10.4,0.0,8.19,-71.78,-71.78,-0.9998999999999999,"$3,939.81",2022-05-25,11:00:00,2022,5,20220525,05/25/2022 11:00:00,2022-05-25 11:00:00-07:00,,,100792.54,0,3.087,57.69,,26.0,290.0
146,147,2022-12-27 14:00:00,27,14.0,$0.02,$25.49,6.56,$0.00,9957.59,53.1,4.6,0.0,3.89,-25.48,-25.48,-0.9994,"-$9,237.77",2022-12-27,14:00:00,2022,12,20221227,12/27/2022 14:00:00,2022-12-27 14:00:00-08:00,,,101906.46,0,0.0,32.75,,13.0,0.0
147,148,2022-06-05 09:00:00,5,9.0,$0.02,$45.95,8.36,$0.00,12265.63,80.1,5.8,0.0,5.5,-45.93,-45.93,-0.9995999999999999,"$5,903.83",2022-06-05,09:00:00,2022,6,20220605,06/05/2022 09:00:00,2022-06-05 09:00:00-07:00,,,100590.01,0,3.601,58.66,,30.0,160.0
148,149,2023-01-15 10:00:00,15,10.0,$0.02,$10.80,3.44,$0.00,9706.21,66.0,11.5,0.01,3.14,-10.78,-10.78,-0.9979,"-$11,261.22",2023-01-15,10:00:00,2023,1,20230115,01/15/2023 10:00:00,2023-01-15 10:00:00-08:00,9.774,,101298.87,0,7.202,53.36,,23.0,160.0
149,150,2023-03-03 10:00:00,3,10.0,$0.05,$17.35,2.68,$0.00,10434.66,61.0,21.9,0.02,6.47,-17.31,-17.31,-0.9974,"-$13,426.16",2023-03-03,10:00:00,2023,3,20230303,03/03/2023 10:00:00,2023-03-03 10:00:00-08:00,,,100421.24,0,7.717,37.07,,19.0,320.0
150,151,2022-12-28 16:00:00,28,16.0,$0.05,$13.46,4.9,$0.00,9425.07,75.0,15.0,0.01,2.75,-13.41,-13.41,-0.9965,"-$9,550.24",2022-12-28,16:00:00,2022,12,20221228,12/28/2022 16:00:00,2022-12-28 16:00:00-08:00,,,100961.32,0,4.63,77.79,,20.0,140.0
151,152,2023-01-12 17:00:00,12,17.0,$0.05,$23.74,3.35,$0.00,10551.83,61.0,19.6,0.01,7.09,-23.69,-23.69,-0.998,"-$10,994.54",2023-01-12,17:00:00,2023,1,20230112,01/12/2023 17:00:00,2023-01-12 17:00:00-08:00,,,102142.74,0,4.63,47.46,,14.0,330.0
152,153,2023-01-06 14:00:00,6,14.0,$0.07,$16.53,3.76,$0.00,10731.64,77.0,11.5,0.02,4.4,-16.46,-16.46,-0.9958,"-$10,115.58",2023-01-06,14:00:00,2023,1,20230106,01/06/2023 14:00:00,2023-01-06 14:00:00-08:00,,,101670.17,0,5.144,50.52,,25.0,170.0
153,154,2023-01-15 01:00:00,15,1.0,$0.10,$6.02,3.44,$0.00,9471.2,46.0,3.5,0.03,1.75,-5.92,-5.92,-0.983,"-$11,226.75",2023-01-15,01:00:00,2023,1,20230115,01/15/2023 01:00:00,2023-01-15 01:00:00-08:00,,,101602.66,0,0.0,100.0,,8.0,0.0
154,155,2023-01-15 12:00:00,15,12.0,$0.10,$8.44,3.44,$0.00,9845.94,72.0,19.6,0.03,2.45,-8.34,-8.34,-0.9879000000000001,"-$11,278.91",2023-01-15,12:00:00,2023,1,20230115,01/15/2023 12:00:00,2023-01-15 12:00:00-08:00,,,100961.32,0,7.717,56.7,,22.0,160.0
155,156,2023-02-09 16:00:00,9,16.0,$0.16,$15.39,2.42,$0.00,10311.37,71.1,0.0,0.06,6.36,-15.24,-15.24,-0.9899,"-$13,105.84",2023-02-09,16:00:00,2023,2,20230209,02/09/2023 16:00:00,2023-02-09 16:00:00-08:00,,,101501.4,0,5.144,34.25,,18.0,140.0
156,157,2022-05-28 07:00:00,28,7.0,$0.16,$42.36,8.27,$0.00,10503.75,66.0,3.5,0.02,5.12,-42.2,-42.2,-0.9963,"$10,920.11",2022-05-28,07:00:00,2022,5,20220528,05/28/2022 07:00:00,2022-05-28 07:00:00-07:00,,,101130.09,0,4.116,57.69,,26.0,130.0
157,158,2022-10-25 03:00:00,25,3.0,$0.18,$21.85,4.81,$0.00,8838.84,61.0,9.2,0.04,4.54,-21.68,-21.68,-0.992,"$1,279.94",2022-10-25,03:00:00,2022,10,20221025,10/25/2022 03:00:00,2022-10-25 03:00:00-07:00,,,100792.54,0,1.543,77.33,,17.0,280.0
158,159,2023-01-15 15:00:00,15,15.0,$0.19,$9.30,3.44,$0.00,9970.93,72.0,13.8,0.06,2.7,-9.11,-9.11,-0.9795999999999999,"-$11,306.43",2023-01-15,15:00:00,2023,1,20230115,01/15/2023 15:00:00,2023-01-15 15:00:00-08:00,10.803,,100860.05,0,8.231,64.32,,21.0,160.0
159,160,2022-10-26 12:00:00,26,12.0,$0.20,$29.27,5.2,$0.00,10342.28,70.0,10.4,0.04,5.63,-29.07,-29.07,-0.9933,$866.05,2022-10-26,12:00:00,2022,10,20221026,10/26/2022 12:00:00,2022-10-26 12:00:00-07:00,,,101433.89,0,,25.17,,23.0,
