,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1,lat,lon,validdate,direct_rad:W,solar_power:MW
2700,9755,2023-01-29 21:00:00,29,21,30.7025,19.97,2.79,0.0,20906.83,17.1,12.7,11.00448029,7.157706093,10.7325,10.7325,0.537431147,-37966.4425,2023-01-29,21:00:00,2023,1,01/2/223,20230129,2023-01-29 07:01:00-08:00,2023-01-30T01:28:36+00:00,37656,01/29/2023 21:00:00,2023-01-29 21:00:00-08:00,,,89560.5,30.0,85.24,7.202,,-10.0,35.371452,-101.387665,2023-01-29 21:00:00-08:00,0.0,0.0
2701,9758,2022-10-05 04:00:00,5,4,30.715,25.16,5.4,0.0,10982.94,57.0,4.6,5.687962963,4.659259259,5.555,5.555,0.220786963,-26633.0025,2022-10-05,04:00:00,2022,10,10/0/222,20221005,2022-10-05 06:58:32-07:00,2022-10-06T01:41:28+00:00,42176,10/05/2022 04:00:00,2022-10-05 04:00:00-07:00,,,89471.47,20.0,82.01,3.087,,13.0,35.371452,-101.387665,2022-10-05 04:00:00-07:00,0.0,0.0
2702,9763,2023-01-13 04:00:00,13,4,30.745,28.0,3.55,0.0,14220.42,30.9,11.5,8.66056338,7.887323944,2.745,2.745,0.098035714,-36994.725,2023-01-13,04:00:00,2023,1,01/1/223,20230113,2023-01-13 07:08:04-08:00,2023-01-14T01:12:45+00:00,36281,01/13/2023 04:00:00,2023-01-13 04:00:00-08:00,,,90035.3,230.0,68.78,4.63,,-1.0,35.371452,-101.387665,2023-01-13 04:00:00-08:00,0.0,0.0
2703,9775,2022-10-19 17:00:00,19,17,30.7925,43.32,6.0,0.0,13275.44,75.9,11.5,5.132083333,7.22,-12.5275,-12.5275,-0.289185134,-23354.5975,2022-10-19,17:00:00,2022,10,10/1/222,20221019,2022-10-19 07:10:00-07:00,2022-10-20T01:23:12+00:00,40392,10/19/2022 17:00:00,2022-10-19 17:00:00-07:00,,,89352.77,260.0,21.26,2.058,,21.0,35.371452,-101.387665,2022-10-19 17:00:00-07:00,0.0,0.0
2704,9790,2023-01-30 23:00:00,30,23,30.845,36.5,2.79,0.0,23498.63,16.0,15.0,11.05555556,13.08243728,-5.655,-5.655,-0.154931507,-36158.1475,2023-01-30,23:00:00,2023,1,01/3/223,20230130,2023-01-30 07:00:19-08:00,2023-01-31T01:29:37+00:00,37758,01/30/2023 23:00:00,2023-01-30 23:00:00-08:00,,,89708.87,60.0,72.44,4.63,,-10.0,35.371452,-101.387665,2023-01-30 23:00:00-08:00,0.0,0.0
2705,9799,2022-12-22 21:00:00,22,21,30.88,117.83,6.14,0.0,31748.58,1.9,17.3,5.029315961,19.19055375,-86.95,-86.95,-0.737927523,-27882.51,2022-12-22,21:00:00,2022,12,12/2/222,20221222,2022-12-22 07:04:51-08:00,2022-12-23T00:55:59+00:00,35468,12/22/2022 21:00:00,2022-12-22 21:00:00-08:00,,,90480.44,350.0,45.35,8.231,,-17.0,35.371452,-101.387665,2022-12-22 21:00:00-08:00,0.0,0.0
2706,9802,2023-01-13 03:00:00,13,3,30.8925,29.24,3.55,0.0,13977.65,30.9,6.9,8.702112676,8.236619718,1.6525,1.6525,0.056515048,-36997.47,2023-01-13,03:00:00,2023,1,01/1/223,20230113,2023-01-13 07:08:04-08:00,2023-01-14T01:12:45+00:00,36281,01/13/2023 03:00:00,2023-01-13 03:00:00-08:00,,,90035.3,220.0,68.56,4.63,,-2.0,35.371452,-101.387665,2023-01-13 03:00:00-08:00,0.0,0.0
2707,9809,2023-01-04 18:00:00,4,18,30.95,38.53,3.65,0.0,14654.14,39.0,11.5,8.479452055,10.55616438,-7.58,-7.58,-0.196729821,-35985.6625,2023-01-04,18:00:00,2023,1,01/0/223,20230104,2023-01-04 07:08:33-08:00,2023-01-05T01:04:48+00:00,35775,01/04/2023 18:00:00,2023-01-04 18:00:00-08:00,,,89352.77,60.0,68.78,4.63,,-1.0,35.371452,-101.387665,2023-01-04 18:00:00-08:00,0.0,0.0
2708,9827,2023-03-09 03:00:00,9,3,31.02,13.31,2.5,0.0,10939.99,43.0,10.4,12.408,5.324,17.71,17.71,1.330578512,-38855.3175,2023-03-09,03:00:00,2023,3,03/0/223,20230309,2023-03-09 06:19:00-08:00,2023-03-10T02:05:22+00:00,42382,03/09/2023 03:00:00,2023-03-09 03:00:00-08:00,,,88966.99,180.0,81.2,5.144,,7.0,35.371452,-101.387665,2023-03-09 03:00:00-08:00,0.0,0.0
2709,9841,2023-01-29 12:00:00,29,12,31.1,18.55,2.79,0.0,16208.5,17.1,8.1,11.14695341,6.64874552,12.55,12.55,0.676549865,-38051.7,2023-01-29,12:00:00,2023,1,01/2/223,20230129,2023-01-29 07:01:00-08:00,2023-01-30T01:28:36+00:00,37656,01/29/2023 12:00:00,2023-01-29 12:00:00-08:00,,,89174.72,20.0,85.59,5.144,,-7.0,35.371452,-101.387665,2023-01-29 12:00:00-08:00,531.2,0.718
