,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length
69,03/30/2021 04:00:00,30,4,-31.635,-26.99,2.51,0.0,9930.93,55.9,18.4,-12.60358566,-10.75298805,-4.645,-4.645,0.172100778,-1230.835,2021-03-30,04:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
70,04/26/2021 04:00:00,26,4,-31.635,-30.87,2.71,0.0,10207.76,66.0,19.6,-11.67343173,-11.39114391,-0.765,-0.765,0.024781341,7582.89,2021-04-26,04:00:00,2021,04,04/2/221,20210426,2021-04-26T13:14:16+00:00,2021-04-27T02:44:32+00:00,48616
71,05/03/2021 20:00:00,03,20,-31.635,-12.83,2.88,0.0,19119.26,50.0,25.3,-10.984375,-4.454861111,-18.805,-18.805,1.465705378,6405.24,2021-05-03,20:00:00,2021,05,05/0/221,20210503,2021-05-03T13:06:48+00:00,2021-05-04T02:50:15+00:00,49407
72,03/30/2021 09:00:00,30,9,-31.6325,-23.12,2.51,0.0,12812.26,41.0,27.6,-12.60258964,-9.211155378,-8.5125,-8.5125,0.368187716,-1254.3075,2021-03-30,09:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
73,04/25/2021 23:00:00,25,23,-31.6325,-29.96,2.71,0.0,13626.51,69.1,15.0,-11.67250923,-11.05535055,-1.6725,-1.6725,0.055824433,7585.7425,2021-04-25,23:00:00,2021,04,04/2/221,20210425,2021-04-25T13:15:24+00:00,2021-04-26T02:43:43+00:00,48499
74,03/20/2021 18:00:00,20,18,-31.63,-24.47,2.45,0.0,11841.13,68.0,26.5,-12.91020408,-9.987755102,-7.16,-7.16,0.292603188,-483.65,2021-03-20,18:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
75,03/21/2021 08:00:00,21,8,-31.63,-21.11,2.45,0.0,12374.96,43.0,16.1,-12.91020408,-8.616326531,-10.52,-10.52,0.498342018,-583.5675,2021-03-21,08:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
76,03/29/2021 04:00:00,29,4,-31.63,-23.08,2.47,0.0,10071.64,48.0,16.1,-12.80566802,-9.344129555,-8.55,-8.55,0.370450607,-1049.4925,2021-03-29,04:00:00,2021,03,03/2/221,20210329,2021-03-29T13:50:30+00:00,2021-03-30T02:22:03+00:00,45093
77,03/30/2021 03:00:00,30,3,-31.63,-26.99,2.51,0.0,10031.29,57.0,21.9,-12.60159363,-10.75298805,-4.64,-4.64,0.171915524,-1226.19,2021-03-30,03:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
78,04/26/2021 00:00:00,26,24,-31.63,-28.89,2.71,0.0,12346.74,68.0,13.8,-11.67158672,-10.66051661,-2.74,-2.74,0.094842506,7583.0025,2021-04-26,00:00:00,2021,04,04/2/221,20210426,2021-04-26T13:14:16+00:00,2021-04-27T02:44:32+00:00,48616
79,03/20/2021 17:00:00,20,17,-31.6275,-22.84,2.45,0.0,11675.39,69.1,26.5,-12.90918367,-9.32244898,-8.7875,-8.7875,0.384741681,-476.49,2021-03-20,17:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
80,03/30/2021 02:00:00,30,2,-31.6275,-26.42,2.51,0.0,10274.61,59.0,26.5,-12.60059761,-10.52589641,-5.2075,-5.2075,0.197104466,-1221.55,2021-03-30,02:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
81,04/26/2021 16:00:00,26,16,-31.6275,-19.98,2.71,0.0,16253.98,88.0,24.2,-11.67066421,-7.372693727,-11.6475,-11.6475,0.582957958,7625.7125,2021-04-26,16:00:00,2021,04,04/2/221,20210426,2021-04-26T13:14:16+00:00,2021-04-27T02:44:32+00:00,48616
82,05/03/2021 00:00:00,03,24,-31.6275,-20.89,2.88,0.0,13347.97,68.0,11.5,-10.98177083,-7.253472222,-10.7375,-10.7375,0.514001915,6643.7275,2021-05-03,00:00:00,2021,05,05/0/221,20210503,2021-05-03T13:06:48+00:00,2021-05-04T02:50:15+00:00,49407
83,03/29/2021 06:00:00,29,6,-31.625,-22.36,2.47,0.0,11333.99,46.9,17.3,-12.80364372,-9.052631579,-9.265,-9.265,0.414355993,-1067.3175,2021-03-29,06:00:00,2021,03,03/2/221,20210329,2021-03-29T13:50:30+00:00,2021-03-30T02:22:03+00:00,45093
84,04/22/2021 01:00:00,22,1,-31.625,-20.91,2.65,0.0,10751.02,36.0,11.5,-11.93396226,-7.890566038,-10.715,-10.715,0.512434242,8726.5475,2021-04-22,01:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
85,04/25/2021 22:00:00,25,22,-31.625,-23.97,2.71,0.0,14672.04,73.9,19.6,-11.6697417,-8.84501845,-7.655,-7.655,0.31935753,7587.415,2021-04-25,22:00:00,2021,04,04/2/221,20210425,2021-04-25T13:15:24+00:00,2021-04-26T02:43:43+00:00,48499
86,05/02/2021 22:00:00,02,22,-31.625,-23.27,2.88,0.0,15666.94,78.1,17.3,-10.98090278,-8.079861111,-8.355,-8.355,0.359045982,6667.51,2021-05-02,22:00:00,2021,05,05/0/221,20210502,2021-05-02T13:07:48+00:00,2021-05-03T02:49:26+00:00,49298
87,05/02/2021 23:00:00,02,23,-31.625,-18.58,2.88,0.0,14614.77,64.9,10.4,-10.98090278,-6.451388889,-13.045,-13.045,0.702099031,6654.465,2021-05-02,23:00:00,2021,05,05/0/221,20210502,2021-05-02T13:07:48+00:00,2021-05-03T02:49:26+00:00,49298
88,12/09/2021 02:00:00,09,2,-31.625,-16.8,3.79,0.0,11471.7,55.9,26.5,-8.344327177,-4.432717678,-14.825,-14.825,0.882440476,-6258.2375,2021-12-09,02:00:00,2021,12,12/0/221,20211209,2021-12-09T14:56:52+00:00,2021-12-10T00:51:40+00:00,35688
89,03/20/2021 06:00:00,20,6,-31.6225,-19.01,2.45,0.0,11783.19,37.9,13.8,-12.90714286,-7.759183673,-12.6125,-12.6125,0.663466597,-305.02,2021-03-20,06:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
90,03/21/2021 06:00:00,21,6,-31.6225,-24.11,2.45,0.0,11104.0,45.0,20.7,-12.90714286,-9.840816327,-7.5125,-7.5125,0.3115927,-565.435,2021-03-21,06:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
91,03/29/2021 08:00:00,29,8,-31.6225,-22.08,2.47,0.0,13753.13,48.9,19.6,-12.80263158,-8.939271255,-9.5425,-9.5425,0.432178442,-1085.405,2021-03-29,08:00:00,2021,03,03/2/221,20210329,2021-03-29T13:50:30+00:00,2021-03-30T02:22:03+00:00,45093
